Scale,Dataset,Image,Method,PSNR,SSIM
2x,BSDS100,101085.png,bicubic,26.94639969,0.7783275843
2x,BSDS100,101087.png,bicubic,31.55378723,0.9118108153
2x,BSDS100,102061.png,bicubic,30.0892868,0.9068000317
2x,BSDS100,103070.png,bicubic,34.87725449,0.944722712
2x,BSDS100,105025.png,bicubic,30.09449005,0.8760183454
2x,BSDS100,106024.png,bicubic,36.37102127,0.9452953339
2x,BSDS100,108005.png,bicubic,30.77965927,0.9048696756
2x,BSDS100,108070.png,bicubic,27.07462502,0.8244350553
2x,BSDS100,108082.png,bicubic,31.39608192,0.9050229788
2x,BSDS100,109053.png,bicubic,33.06673813,0.9161208272
2x,BSDS100,119082.png,bicubic,27.51252747,0.8614139557
2x,BSDS100,12084.png,bicubic,32.04977036,0.8983097076
2x,BSDS100,123074.png,bicubic,34.46029663,0.9307028055
2x,BSDS100,126007.png,bicubic,32.77226257,0.9173285961
2x,BSDS100,130026.png,bicubic,29.0717411,0.8634701371
2x,BSDS100,134035.png,bicubic,28.97647858,0.9017780423
2x,BSDS100,14037.png,bicubic,37.24586105,0.9473297
2x,BSDS100,143090.png,bicubic,36.96941376,0.9567462206
2x,BSDS100,145086.png,bicubic,28.67484665,0.8506964445
2x,BSDS100,147091.png,bicubic,30.04255486,0.9033318162
2x,BSDS100,148026.png,bicubic,25.58937836,0.8434157968
2x,BSDS100,148089.png,bicubic,27.3352623,0.8290477991
2x,BSDS100,156065.png,bicubic,28.84556198,0.7873350382
2x,BSDS100,157055.png,bicubic,29.91396141,0.9073613286
2x,BSDS100,159008.png,bicubic,31.1135788,0.9249743819
2x,BSDS100,160068.png,bicubic,31.72600746,0.9365649223
2x,BSDS100,16077.png,bicubic,31.66513443,0.8837714791
2x,BSDS100,163085.png,bicubic,33.61051941,0.9208225608
2x,BSDS100,167062.png,bicubic,34.20555115,0.9440406561
2x,BSDS100,167083.png,bicubic,23.73523903,0.7435795069
2x,BSDS100,170057.png,bicubic,34.17757416,0.9344112277
2x,BSDS100,175032.png,bicubic,24.60757065,0.7179034352
2x,BSDS100,175043.png,bicubic,29.56985664,0.87186867
2x,BSDS100,182053.png,bicubic,27.69414902,0.876185894
2x,BSDS100,189080.png,bicubic,36.72397232,0.952398181
2x,BSDS100,19021.png,bicubic,30.83781052,0.879610002
2x,BSDS100,196073.png,bicubic,31.3973999,0.7399520874
2x,BSDS100,197017.png,bicubic,31.20471001,0.8499326706
2x,BSDS100,208001.png,bicubic,32.41252518,0.8986765742
2x,BSDS100,210088.png,bicubic,36.21101761,0.9707124829
2x,BSDS100,21077.png,bicubic,30.1139679,0.8725612164
2x,BSDS100,216081.png,bicubic,28.98500824,0.8482537866
2x,BSDS100,219090.png,bicubic,30.26127243,0.8804191351
2x,BSDS100,220075.png,bicubic,31.25144577,0.9445543289
2x,BSDS100,223061.png,bicubic,28.25756836,0.838799119
2x,BSDS100,227092.png,bicubic,37.90920258,0.9415745139
2x,BSDS100,229036.png,bicubic,26.68035316,0.8256035447
2x,BSDS100,236037.png,bicubic,29.01274109,0.8491995931
2x,BSDS100,24077.png,bicubic,30.06847382,0.940689683
2x,BSDS100,241004.png,bicubic,35.61521912,0.924080193
2x,BSDS100,241048.png,bicubic,28.78873062,0.8184913397
2x,BSDS100,253027.png,bicubic,26.72053909,0.861713469
2x,BSDS100,253055.png,bicubic,35.85663223,0.9220318794
2x,BSDS100,260058.png,bicubic,36.43318558,0.913086772
2x,BSDS100,271035.png,bicubic,31.27871704,0.8989199996
2x,BSDS100,285079.png,bicubic,28.98912239,0.858381331
2x,BSDS100,291000.png,bicubic,24.56627083,0.6915647984
2x,BSDS100,295087.png,bicubic,31.05284691,0.8657599092
2x,BSDS100,296007.png,bicubic,35.23528671,0.8995081782
2x,BSDS100,296059.png,bicubic,33.54262924,0.8849743605
2x,BSDS100,299086.png,bicubic,35.44371414,0.9119794965
2x,BSDS100,300091.png,bicubic,32.32239151,0.8995165229
2x,BSDS100,302008.png,bicubic,35.3983078,0.9755660892
2x,BSDS100,304034.png,bicubic,28.06279755,0.8638665676
2x,BSDS100,304074.png,bicubic,29.65395355,0.820563674
2x,BSDS100,306005.png,bicubic,32.17170334,0.9112198949
2x,BSDS100,3096.png,bicubic,41.18748093,0.9872409105
2x,BSDS100,33039.png,bicubic,25.0894146,0.8142392039
2x,BSDS100,351093.png,bicubic,26.17821884,0.8250768781
2x,BSDS100,361010.png,bicubic,32.13866806,0.9161637425
2x,BSDS100,37073.png,bicubic,32.73788452,0.8921492696
2x,BSDS100,376043.png,bicubic,29.34194374,0.8246587515
2x,BSDS100,38082.png,bicubic,31.2636013,0.8266004324
2x,BSDS100,38092.png,bicubic,29.72573853,0.8536500931
2x,BSDS100,385039.png,bicubic,27.42569351,0.8388157487
2x,BSDS100,41033.png,bicubic,32.63829041,0.8998446465
2x,BSDS100,41069.png,bicubic,27.14159393,0.7578270435
2x,BSDS100,42012.png,bicubic,33.30927658,0.9159115553
2x,BSDS100,42049.png,bicubic,32.93867111,0.9633083344
2x,BSDS100,43074.png,bicubic,34.12556839,0.9228215814
2x,BSDS100,45096.png,bicubic,39.4242897,0.9695903659
2x,BSDS100,54082.png,bicubic,31.88486099,0.8511862159
2x,BSDS100,55073.png,bicubic,25.66631699,0.7720820308
2x,BSDS100,58060.png,bicubic,24.99310493,0.7932304144
2x,BSDS100,62096.png,bicubic,28.10070992,0.880543232
2x,BSDS100,65033.png,bicubic,28.65254974,0.8201694489
2x,BSDS100,66053.png,bicubic,30.6884346,0.8596539497
2x,BSDS100,69015.png,bicubic,34.51635742,0.9262942672
2x,BSDS100,69020.png,bicubic,30.72317505,0.7846862078
2x,BSDS100,69040.png,bicubic,29.28096771,0.860879004
2x,BSDS100,76053.png,bicubic,33.3032341,0.8825955391
2x,BSDS100,78004.png,bicubic,29.15065765,0.8615873456
2x,BSDS100,8023.png,bicubic,35.92281723,0.9623039961
2x,BSDS100,85048.png,bicubic,29.49979401,0.8797853589
2x,BSDS100,86000.png,bicubic,29.64855385,0.9022445679
2x,BSDS100,86016.png,bicubic,25.12937927,0.6110334992
2x,BSDS100,86068.png,bicubic,30.54901314,0.7816026807
2x,BSDS100,87046.png,bicubic,30.38333702,0.9072883129
2x,BSDS100,89072.png,bicubic,30.34354019,0.8726541996
2x,BSDS100,97033.png,bicubic,28.48280716,0.871260047
